e.root-servers.net 2001:0500:00a8:0000:0000:0000:0000:000e {}
e.root-servers.net 192.203.230.10 {}
h.root-servers.net 198.97.190.53 {}
h.root-servers.net 2001:0500:0001:0000:0000:0000:0000:0053 {}
nna.dnsnode.net 194.58.192.132 {}
nna.dnsnode.net 2a01:03f1:0032:8000:0000:0000:0000:0053 {}
nsa.dnsnode.net 2a01:03f1:0032:0000:0000:0000:0000:0053 {}
nsa.dnsnode.net 194.58.192.32 {}
nsa.dnsnode.net 194.58.192.46 {"evhbphu/e0kl/ce8C6IVNA":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"timestamp":1731516639.13008,"querytime":5,"data":"w7OEAAABAAMAAAABCnpvbmVtYXN0ZXIDbmV0AAAwAAHADAAwAAEAAA4QAEQBAAMNXgtdGr3NpGWtFS6i7kfrp6gDpbH/9pBgCJQrwzNO26pxkVgpNY+OIXJ+4nTDmIrUclraIuomP07cQ1dbXeCNoMAMADAAAQAADhAARAEBAw3Lw6yMkEexE2j5VDUTobI9qaT69h6ARCV5QwAZ7AfvYZxRyIInZVrTMBX8japkMn+O8rpryLDr0cfFtr0+7PHCwAwALgABAAAOEABiADANAgAADhBnYukKZzSvcjp2CnpvbmVtYXN0ZXIDbmV0AHVIOnGAkQlcikaOmJn+Hu+ecIs+oVbPofHCIY+OIfodt18B4gvetALyjh6pIB9ZKHXerN421ay3VPPqTcAcz7AAACkQAAAAgAAAAA==","answerfrom":"194.58.192.46"}}}}
nsa.dnsnode.net 2a01:03f1:0046:0000:0000:0000:0000:0053 {}
ns1.arin.net 199.212.0.108 {}
ns1.arin.net 2001:0500:0013:0000:0000:0000:0000:0108 {}
m.ns.se 194.0.11.112 {"o4kbqEf9LYXgZkuLSKngZg":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"answerfrom":"194.0.11.112","data":"v6qABQABAAAAAAABA25zMQFhB2V4YW1wbGUAABwAAQAAKQWsAAAAAAAA","timestamp":1731516626.82253,"querytime":0}}},"2W6m0lDmkE3MTS87tx7B5w":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"querytime":0,"timestamp":1731516626.64964,"answerfrom":"194.0.11.112","data":"FSeABQABAAAAAAABA25zMQFhB2V4YW1wbGUAAAEAAQAAKQWsAAAAAAAA"}}}}
m.ns.se 2001:0678:000e:0112:0000:0000:0000:0053 {}
nsu.dnsnode.net 185.42.137.98 {"sXDcACKhm0MFS8wh6cIIDQ":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"querytime":0,"timestamp":1731516626.44889,"data":"ji2EAAABAAEABAABDWFzbmxvb2t1cC1uczIKem9uZW1hc3RlcgNuZXQAABwAAcAMABwAAQAADhAAECABBnwSTHMSAAAAAAAAAHDAGgACAAEAAA4QAAwDbnMyA25pYwJmcgDAGgACAAEAAA4QAA4DbnNhB2Ruc25vZGXAJcAaAAIAAQAADhAABgNuc3DAcsAaAAIAAQAADhAABgNuc3XAcgAAKRAAAAAAAAAA","answerfrom":"185.42.137.98"}}},"evhbphu/e0kl/ce8C6IVNA":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"answerfrom":"185.42.137.98","data":"ybqEAAABAAMAAAABCnpvbmVtYXN0ZXIDbmV0AAAwAAHADAAwAAEAAA4QAEQBAQMNy8OsjJBHsRNo+VQ1E6GyPamk+vYegEQleUMAGewH72GcUciCJ2Va0zAV/I2qZDJ/jvK6a8iw69HHxba9PuzxwsAMADAAAQAADhAARAEAAw1eC10avc2kZa0VLqLuR+unqAOlsf/2kGAIlCvDM07bqnGRWCk1j44hcn7idMOYitRyWtoi6iY/TtxDV1td4I2gwAwALgABAAAOEABiADANAgAADhBnYukKZzSvcjp2CnpvbmVtYXN0ZXIDbmV0AHVIOnGAkQlcikaOmJn+Hu+ecIs+oVbPofHCIY+OIfodt18B4gvetALyjh6pIB9ZKHXerN421ay3VPPqTcAcz7AAACkQAAAAgAAAAA==","timestamp":1731516639.14832,"querytime":5}}},"ioaSLvyfzM2idj7aWcQm4g":{"Zonemaster::Engine::Packet":{"Zonemaster::LDNS::Packet":{"querytime":0,"timestamp":1731516626.34931,"data":"q8GEAAABAAEABAABDWFzbmxvb2t1cC1uczIKem9uZW1hc3RlcgNuZXQAAAEAAcAMAAEAAQAADhAABC2bYEbAGgACAAEAAA4QAAwDbnMyA25pYwJmcgDAGgACAAEAAA4QAA4DbnNhB2Ruc25vZGXAJcAaAAIAAQAADhAABgNuc3DAZsAaAAIAAQAADhAABgNuc3XAZgAAKRAAAAAAAAAA","answerfrom":"185.42.137.98"}}}}
nsu.dnsnode.net 2a01:03f0:0400:0000:0000:0000:0000:0032 {}
